r: 4, b: 18, w: 13
r: 5, b: 17, w: 13
r: 6, b: 16, w: 13
r: 7, b: 15, w: 13
r: 8, b: 14, w: 13
r: 9, b: 13, w: 13
r: 10, b: 12, w: 13
r: 11, b: 11, w: 13
r: 12, b: 10, w: 13
r: 13, b: 9, w: 13
r: 14, b: 8, w: 13
r: 15, b: 7, w: 13
r: 16, b: 6, w: 13
r: 17, b: 5, w: 13
r: 18, b: 4, w: 13
r: 19, b: 3, w: 13
r: 20, b: 2, w: 13
r: 21, b: 1, w: 13
r: 1, b: 22, w: 12
r: 2, b: 21, w: 12
r: 3, b: 20, w: 12
r: 4, b: 19, w: 12
r: 5, b: 18, w: 12
r: 6, b: 17, w: 12
r: 7, b: 16, w: 12
r: 8, b: 15, w: 12
r: 9, b: 14, w: 12
r: 10, b: 13, w: 12
r: 11, b: 12, w: 12
r: 12, b: 11, w: 12
r: 13, b: 10, w: 12
r: 14, b: 9, w: 12
r: 15, b: 8, w: 12
r: 16, b: 7, w: 12
r: 17, b: 6, w: 12
r: 18, b: 5, w: 12
r: 19, b: 4, w: 12
r: 20, b: 3, w: 12
r: 21, b: 2, w: 12
r: 22, b: 1, w: 12
r: 1, b: 23, w: 11
r: 2, b: 22, w: 11
r: 3, b: 21, w: 11
r: 4, b: 20, w: 11
r: 5, b: 19, w: 11
r: 6, b: 18, w: 11
r: 7, b: 17, w: 11
r: 8, b: 16, w: 11
r: 9, b: 15, w: 11
r: 10, b: 14, w: 11
r: 11, b: 13, w: 11
r: 12, b: 12, w: 11
r: 13, b: 11, w: 11
r: 14, b: 10, w: 11
r: 15, b: 9, w: 11
r: 16, b: 8, w: 11
r: 17, b: 7, w: 11
r: 18, b: 6, w: 11
r: 19, b: 5, w: 11
r: 20, b: 4, w: 11
r: 21, b: 3, w: 11
r: 22, b: 2, w: 11
r: 23, b: 1, w: 11
r: 1, b: 24, w: 10
r: 2, b: 23, w: 10
r: 3, b: 22, w: 10
r: 4, b: 21, w: 10
r: 5, b: 20, w: 10
r: 6, b: 19, w: 10
r: 7, b: 18, w: 10
r: 8, b: 17, w: 10
r: 9, b: 16, w: 10
r: 10, b: 15, w: 10
r: 11, b: 14, w: 10
r: 12, b: 13, w: 10
r: 13, b: 12, w: 10
r: 14, b: 11, w: 10
r: 15, b: 10, w: 10
r: 16, b: 9, w: 10
r: 17, b: 8, w: 10
r: 18, b: 7, w: 10
r: 19, b: 6, w: 10
r: 20, b: 5, w: 10
r: 21, b: 4, w: 10
r: 22, b: 3, w: 10
r: 23, b: 2, w: 10
r: 24, b: 1, w: 10
r: 1, b: 25, w: 9
r: 2, b: 24, w: 9
r: 3, b: 23, w: 9
r: 4, b: 22, w: 9
r: 5, b: 21, w: 9
r: 6, b: 20, w: 9
r: 7, b: 19, w: 9
r: 8, b: 18, w: 9
r: 9, b: 17, w: 9
r: 10, b: 16, w: 9
r: 11, b: 15, w: 9
r: 12, b: 14, w: 9
r: 13, b: 13, w: 9
r: 14, b: 12, w: 9
r: 15, b: 11, w: 9
r: 16, b: 10, w: 9
r: 17, b: 9, w: 9
r: 18, b: 8, w: 9
r: 19, b: 7, w: 9
r: 20, b: 6, w: 9
r: 21, b: 5, w: 9
r: 22, b: 4, w: 9
r: 23, b: 3, w: 9
r: 24, b: 2, w: 9
r: 25, b: 1, w: 9
r: 1, b: 26, w: 8
r: 2, b: 25, w: 8
r: 3, b: 24, w: 8
r: 4, b: 23, w: 8
r: 5, b: 22, w: 8
r: 6, b: 21, w: 8
r: 7, b: 20, w: 8
r: 8, b: 19, w: 8
r: 9, b: 18, w: 8
r: 10, b: 17, w: 8
r: 11, b: 16, w: 8
r: 12, b: 15, w: 8
r: 13, b: 14, w: 8
r: 14, b: 13, w: 8
r: 15, b: 12, w: 8
r: 16, b: 11, w: 8
r: 17, b: 10, w: 8
r: 18, b: 9, w: 8
r: 19, b: 8, w: 8
r: 20, b: 7, w: 8
r: 21, b: 6, w: 8
r: 22, b: 5, w: 8
r: 23, b: 4, w: 8
r: 24, b: 3, w: 8
r: 25, b: 2, w: 8
r: 26, b: 1, w: 8
r: 1, b: 27, w: 7
r: 2, b: 26, w: 7
r: 3, b: 25, w: 7
r: 4, b: 24, w: 7
r: 5, b: 23, w: 7
r: 6, b: 22, w: 7
r: 7, b: 21, w: 7
r: 8, b: 20, w: 7
r: 9, b: 19, w: 7
r: 10, b: 18, w: 7
r: 11, b: 17, w: 7
r: 12, b: 16, w: 7
r: 13, b: 15, w: 7
r: 14, b: 14, w: 7
r: 15, b: 13, w: 7
r: 16, b: 12, w: 7
r: 17, b: 11, w: 7
r: 18, b: 10, w: 7
r: 19, b: 9, w: 7
r: 20, b: 8, w: 7
r: 21, b: 7, w: 7
r: 22, b: 6, w: 7
r: 23, b: 5, w: 7
r: 24, b: 4, w: 7
r: 25, b: 3, w: 7
r: 26, b: 2, w: 7
r: 27, b: 1, w: 7
r: 1, b: 28, w: 6
r: 2, b: 27, w: 6
r: 3, b: 26, w: 6
r: 4, b: 25, w: 6
r: 5, b: 24, w: 6
r: 6, b: 23, w: 6
r: 7, b: 22, w: 6
r: 8, b: 21, w: 6
r: 9, b: 20, w: 6
r: 10, b: 19, w: 6
r: 11, b: 18, w: 6
r: 12, b: 17, w: 6
r: 13, b: 16, w: 6
r: 14, b: 15, w: 6
r: 15, b: 14, w: 6
r: 16, b: 13, w: 6
r: 17, b: 12, w: 6
r: 18, b: 11, w: 6
r: 19, b: 10, w: 6
r: 20, b: 9, w: 6
r: 21, b: 8, w: 6
r: 22, b: 7, w: 6
r: 23, b: 6, w: 6
r: 24, b: 5, w: 6
r: 25, b: 4, w: 6
r: 26, b: 3, w: 6
r: 27, b: 2, w: 6
r: 28, b: 1, w: 6
r: 1, b: 29, w: 5
r: 2, b: 28, w: 5
r: 3, b: 27, w: 5
r: 4, b: 26, w: 5
r: 5, b: 25, w: 5
r: 6, b: 24, w: 5
r: 7, b: 23, w: 5
r: 8, b: 22, w: 5
r: 9, b: 21, w: 5
r: 10, b: 20, w: 5
r: 11, b: 19, w: 5
r: 12, b: 18, w: 5
r: 13, b: 17, w: 5
r: 14, b: 16, w: 5
r: 15, b: 15, w: 5
r: 16, b: 14, w: 5
r: 17, b: 13, w: 5
r: 18, b: 12, w: 5
r: 19, b: 11, w: 5
r: 20, b: 10, w: 5
r: 21, b: 9, w: 5
r: 22, b: 8, w: 5
r: 23, b: 7, w: 5
r: 24, b: 6, w: 5
r: 25, b: 5, w: 5
r: 26, b: 4, w: 5
r: 27, b: 3, w: 5
